运输方式,路线,价格,环比,日期,价格数值
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/6/2,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/5/26,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/5/19,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/5/12,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/5/5,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/4/28,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/4/21,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/4/14,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/4/7,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/3/31,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/3/24,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/3/17,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/3/10,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/3/3,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/2/24,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/2/17,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/2/10,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/2/3,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/1/27,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/1/20,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/1/13,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2021/1/6,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/12/30,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/12/23,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/12/9,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/12/9,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/12/2,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/11/25,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/11/18,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/11/11,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/11/4,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/10/28,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/10/21,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/10/14,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/10/7,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/9/30,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/9/23,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/9/16,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/9/9,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/9/2,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/8/26,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/8/19,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/8/12,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/8/5,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/7/29,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/7/22,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/7/15,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/7/8,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/7/8,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/7/1,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/6/24,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/6/17,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/6/10,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/6/3,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/5/27,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/5/20,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/5/13,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/5/6,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/4/29,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/4/22,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/4/15,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/4/8,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/4/1,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/3/25,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/3/18,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/3/11,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/3/4,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/2/26,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/2/19,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/2/12,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/2/5,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/1/29,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/1/22,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/1/15,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/1/8,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2020/1/1,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/12/25,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/12/18,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/12/11,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/12/4,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/11/27,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/11/20,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/11/13,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/11/6,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/10/30,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/10/23,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/10/16,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/10/9,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/10/2,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/9/25,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/9/18,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/9/11,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/9/4,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/8/28,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/8/21,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/8/14,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/8/7,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/7/31,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/7/24,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/7/17,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/7/10,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/7/3,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/6/26,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/6/19,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/6/12,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/6/5,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/5/29,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/5/22,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/5/15,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/5/8,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/5/1,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/4/24,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/4/17,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/4/10,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/4/3,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/3/27,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/3/20,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/3/13,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/3/6,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/2/27,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/2/20,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/2/13,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/2/6,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/1/30,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/1/23,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/1/9,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2019/1/2,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/12/26,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/12/19,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/12/12,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/12/5,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/11/28,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/11/21,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/11/14,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/11/7,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/10/31,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/10/24,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/10/17,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/10/10,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/10/3,4102.0
整车运输-13,上海-合肥,4102元/整车,-0.80%,2018/10/3,4102.0
整车运输-13,上海-宁波,4102元/整车,-0.80%,2018/10/3,4102.0
整车运输-13,上海-宁波,2075元/整车,-0.80%,2018/10/3,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2018/10/3,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2024/3/6,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2024/2/28,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2024/2/21,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2024/2/14,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2024/2/7,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2024/1/31,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2024/1/24,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2024/1/17,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2024/1/10,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2024/1/3,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/12/27,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/12/20,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/12/13,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/12/6,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/11/29,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/11/15,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/11/8,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/11/1,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/10/25,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/10/18,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/10/11,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/10/4,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/9/27,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/9/20,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/9/13,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/9/6,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/8/30,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/8/23,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/8/16,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/8/9,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/8/2,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/7/26,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/7/19,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/7/12,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/7/5,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/6/28,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/6/21,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/6/7,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/5/31,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/5/24,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/5/17,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/5/10,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/5/3,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/4/26,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/4/19,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/4/12,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/4/5,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/3/29,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/3/15,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/3/8,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/3/1,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/2/22,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/2/15,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/2/8,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/2/1,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/1/25,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/1/18,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/1/11,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2023/1/4,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/12/28,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/12/14,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/12/7,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/11/23,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/11/16,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/11/9,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/11/2,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/10/26,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/10/19,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/10/12,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/10/5,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/9/28,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/9/21,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/9/7,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/8/31,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/8/24,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/8/17,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/8/3,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/7/27,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/7/20,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/7/13,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/7/6,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/6/29,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/6/22,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/6/15,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/6/8,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/6/1,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/5/25,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/5/18,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/5/11,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/5/4,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/4/27,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/4/20,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/4/13,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/2/23,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/2/9,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/2/2,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/1/26,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2022/1/5,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/9/8,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/8/18,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/8/11,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/8/4,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/7/28,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/7/21,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/7/14,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/7/7,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/6/30,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/6/23,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/6/16,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/6/9,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/6/2,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/5/26,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/5/19,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/5/12,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/5/5,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/4/28,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/4/21,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/4/14,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/4/7,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/3/31,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/3/24,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/3/17,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/3/10,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/3/3,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/2/24,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/2/17,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/2/10,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/2/3,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/1/27,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/1/20,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/1/13,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2021/1/6,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/12/30,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/12/23,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/12/9,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/12/9,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/12/2,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/11/25,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/11/18,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/11/11,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/11/4,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/10/28,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/10/21,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/10/14,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/10/7,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/9/30,2075.0
整车运输-13,上海-宁波,2075元/整车,0.00%,2020/9/23,2075.0
